what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1313438238479
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1313438238479
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1313438238479
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1313438238479
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1313438238479
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1313438238479
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1313438238479
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1313438238479
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1313438238479
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1313438238479
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1313438238479
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1313438238479
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1313438238479
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1313438238479
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1313438238479
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1313438238479
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1313438238479
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1313438238479
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1313438238479
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1313438238479
started,bundle,com.python.pydev,2.2.1.2011071313,"com.python.pydev",1313438238479
started,bundle,com.python.pydev.analysis,2.2.1.2011071313,"com.python.pydev.analysis",1313438238479
started,bundle,com.python.pydev.codecompletion,2.2.1.2011071313,"com.python.pydev.codecompletion",1313438238479
started,bundle,com.python.pydev.refactoring,2.2.1.2011071313,"com.python.pydev.refactoring",1313438238479
started,bundle,org.python.pydev,2.2.1.2011071313,"org.python.pydev",1313438238479
started,bundle,org.python.pydev.core,2.2.1.2011071313,"org.python.pydev.core",1313438238479
started,bundle,org.python.pydev.debug,2.2.1.2011071313,"org.python.pydev.debug",1313438238479
started,bundle,org.python.pydev.django,2.2.1.2011071313,"org.python.pydev.django",1313438238479
started,bundle,org.python.pydev.jython,2.2.1.2011071313,"org.python.pydev.jython",1313438238479
started,bundle,org.python.pydev.parser,2.2.1.2011071313,"org.python.pydev.parser",1313438238479
started,bundle,org.python.pydev.red_core,2.2.1.2011071313,"org.python.pydev.red_core",1313438238479
started,bundle,org.python.pydev.refactoring,2.2.1.2011071313,"org.python.pydev.refactoring",1313438238479
os,sysinfo,,,"macosx",1313438238482
arch,sysinfo,,,"x86",1313438238482
ws,sysinfo,,,"cocoa",1313438238482
locale,sysinfo,,,"en_US",1313438238482
processors,sysinfo,,,"2",1313438238482
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1313438238482
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1313438238482
java.specification.name,sysinfo,,,"Java Platform API Specification",1313438238482
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313438238482
java.specification.version,sysinfo,,,"1.6",1313438238482
java.vendor,sysinfo,,,"Apple Inc.",1313438238482
java.version,sysinfo,,,"1.6.0_26",1313438238482
java.vm.info,sysinfo,,,"mixed mode",1313438238482
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1313438238482
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313438238482
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313438238482
java.vm.specification.version,sysinfo,,,"1.0",1313438238482
java.vm.vendor,sysinfo,,,"Apple Inc.",1313438238482
java.vm.version,sysinfo,,,"20.1-b02-384",1313438238482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313438242536
activated,view,org.python.pydev,2.2.1.2011071313,"org.python.pydev.navigator.view",1313438258217
closed,editor,org.python.pydev,2.2.1.2011071313,"org.python.pydev.editor.PythonEditor",1313438258221
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1313438258733
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1313438263880
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1313438264840
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1313438264840
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1313438264840
stopped,bundle,com.python.pydev.codecompletion,2.2.1.2011071313,"com.python.pydev.codecompletion",1313438264841
stopped,bundle,com.python.pydev.refactoring,2.2.1.2011071313,"com.python.pydev.refactoring",1313438264841
stopped,bundle,org.python.pydev.mylyn,0.3,"org.python.pydev.mylyn",1313438264841
stopped,bundle,com.python.pydev.analysis,2.2.1.2011071313,"com.python.pydev.analysis",1313438264841
stopped,bundle,com.python.pydev.debug,2.2.1.2011071313,"com.python.pydev.debug",1313438264841
stopped,bundle,com.python.pydev.fastparser,2.2.1.2011071313,"com.python.pydev.fastparser",1313438264841
stopped,bundle,org.python.pydev.red_core,2.2.1.2011071313,"org.python.pydev.red_core",1313438264841
stopped,bundle,com.python.pydev,2.2.1.2011071313,"com.python.pydev",1313438264842
stopped,bundle,org.python.pydev.django,2.2.1.2011071313,"org.python.pydev.django",1313438264842
stopped,bundle,org.python.pydev.customizations,2.2.1.2011071313,"org.python.pydev.customizations",1313438264842
stopped,bundle,org.python.pydev.debug,2.2.1.2011071313,"org.python.pydev.debug",1313438264849
stopped,bundle,org.python.pydev.refactoring,2.2.1.2011071313,"org.python.pydev.refactoring",1313438264850
stopped,bundle,org.python.pydev,2.2.1.2011071313,"org.python.pydev",1313438264851
stopped,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1313438264878
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1313438264878
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.400.v201103080228,"org.eclipse.wst.jsdt.web.ui",1313438264878
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1313438264879
stopped,bundle,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.ui",1313438264879
stopped,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1313438264879
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1313438264880
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1313438264880
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.100.v201105030025,"org.eclipse.wst.xml.xpath.ui",1313438264880
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1313438264880
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1313438264881
stopped,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1313438264881
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1313438264881
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1313438264881
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.100.v201103232243,"org.eclipse.wst.jsdt.debug.ui",1313438264881
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.400.v201008112000,"org.eclipse.wst.jsdt.support.firefox",1313438264881
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1313438264881
stopped,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1313438264881
stopped,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1313438264904
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1313438264904
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1313438264904
stopped,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1313438264904
stopped,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1313438264904
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1313438264905
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1313438264905
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1313438264905
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1313438264905
stopped,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1313438264905
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1313438264908
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1313438264908
stopped,bundle,org.eclipse.wst.server.http.ui,1.0.200.v20090113,"org.eclipse.wst.server.http.ui",1313438264908
stopped,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1313438264908
stopped,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1313438264947
stopped,bundle,org.python.pydev.jython,2.2.1.2011071313,"org.python.pydev.jython",1313438264947
stopped,bundle,org.python.pydev.parser,2.2.1.2011071313,"org.python.pydev.parser",1313438264948
stopped,bundle,org.python.pydev.core,2.2.1.2011071313,"org.python.pydev.core",1313438264948
stopped,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1313438264949
stopped,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1313438264950
stopped,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1313438264950
stopped,bundle,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets",1313438264950
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1313438264950
stopped,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1313438264950
stopped,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110606-0949,"org.eclipse.emf.edit.ui",1313438264950
stopped,bundle,org.eclipse.gef,3.7.0.v20110407-2050,"org.eclipse.gef",1313438264950
stopped,bundle,org.eclipse.emf.common.ui,2.7.0.v20110606-0949,"org.eclipse.emf.common.ui",1313438264951
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1313438264951
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1313438264951
